"Step","solo vs group - acc_train","solo vs group - acc_train__MIN","solo vs group - acc_train__MAX","feedback no time shift - acc_train","feedback no time shift - acc_train__MIN","feedback no time shift - acc_train__MAX","feedback - acc_train","feedback - acc_train__MIN","feedback - acc_train__MAX","gender - acc_train","gender - acc_train__MIN","gender - acc_train__MAX","friendship - acc_train","friendship - acc_train__MIN","friendship - acc_train__MAX"
"0","0.7437841892242432","0.7437841892242432","0.7437841892242432","0.5192176103591919","0.5192176103591919","0.5192176103591919","0.5179630517959595","0.5179630517959595","0.5179630517959595","0.6189553141593933","0.6189553141593933","0.6189553141593933","0.6726733446121216","0.6726733446121216","0.6726733446121216"
"1","0.7493727207183838","0.7493727207183838","0.7493727207183838","0.5699703693389893","0.5699703693389893","0.5699703693389893","0.5551437139511108","0.5551437139511108","0.5551437139511108","0.6201528310775757","0.6201528310775757","0.6201528310775757","0.6751254796981812","0.6751254796981812","0.6751254796981812"
"2","0.7494297623634338","0.7494297623634338","0.7494297623634338","0.5832002758979797","0.5832002758979797","0.5832002758979797","0.5711678862571716","0.5711678862571716","0.5711678862571716","0.6202098727226257","0.6202098727226257","0.6202098727226257","0.6751824617385864","0.6751824617385864","0.6751824617385864"
"3","0.7495437860488892","0.7495437860488892","0.7495437860488892","0.5935789346694946","0.5935789346694946","0.5935789346694946","0.5765852928161621","0.5765852928161621","0.5765852928161621","0.6199817657470703","0.6199817657470703","0.6199817657470703","0.675011396408081","0.675011396408081","0.675011396408081"
"4","0.7494867444038391","0.7494867444038391","0.7494867444038391","0.6037864685058594","0.6037864685058594","0.6037864685058594","0.5855383276939392","0.5855383276939392","0.5855383276939392","0.6199247241020203","0.6199247241020203","0.6199247241020203","0.6754105687141418","0.6754105687141418","0.6754105687141418"
"5","0.7494867444038391","0.7494867444038391","0.7494867444038391","0.6115419864654541","0.6115419864654541","0.6115419864654541","0.5850821137428284","0.5850821137428284","0.5850821137428284","0.6202098727226257","0.6202098727226257","0.6202098727226257","0.6752965450286865","0.6752965450286865","0.6752965450286865"
"6","0.7495437860488892","0.7495437860488892","0.7495437860488892","0.6208941340446472","0.6208941340446472","0.6208941340446472","0.6013914346694946","0.6013914346694946","0.6013914346694946","0.6198106408119202","0.6198106408119202","0.6198106408119202","0.6752395033836365","0.6752395033836365","0.6752395033836365"
"7","0.7491446137428284","0.7491446137428284","0.7491446137428284","0.6342951655387878","0.6342951655387878","0.6342951655387878","0.6076071858406067","0.6076071858406067","0.6076071858406067","0.6199247241020203","0.6199247241020203","0.6199247241020203","0.6752395033836365","0.6752395033836365","0.6752395033836365"
"8","0.7495437860488892","0.7495437860488892","0.7495437860488892","0.6389712691307068","0.6389712691307068","0.6389712691307068","0.600593090057373","0.600593090057373","0.600593090057373","0.6199817657470703","0.6199817657470703","0.6199817657470703","0.6753535270690918","0.6753535270690918","0.6753535270690918"
"9","0.7492586374282837","0.7492586374282837","0.7492586374282837","0.6535698175430298","0.6535698175430298","0.6535698175430298","0.6220917105674744","0.6220917105674744","0.6220917105674744","0.6202098727226257","0.6202098727226257","0.6202098727226257","0.6753535270690918","0.6753535270690918","0.6753535270690918"
"10","0.7496578693389893","0.7496578693389893","0.7496578693389893","0.6560789346694946","0.6560789346694946","0.6560789346694946","0.6188982725143433","0.6188982725143433","0.6188982725143433","0.620323896408081","0.620323896408081","0.620323896408081","0.6751824617385864","0.6751824617385864","0.6751824617385864"
"11","0.7493727207183838","0.7493727207183838","0.7493727207183838","0.6649749279022217","0.6649749279022217","0.6649749279022217","0.6276231408119202","0.6276231408119202","0.6276231408119202","0.6320711374282837","0.6320711374282837","0.6320711374282837","0.6752965450286865","0.6752965450286865","0.6752965450286865"
"12","0.7494867444038391","0.7494867444038391","0.7494867444038391","0.673927903175354","0.673927903175354","0.673927903175354","0.627052903175354","0.627052903175354","0.627052903175354","0.6516309380531311","0.6516309380531311","0.6516309380531311","0.6752965450286865","0.6752965450286865","0.6752965450286865"
"13","0.7493156790733337","0.7493156790733337","0.7493156790733337","0.67963045835495","0.67963045835495","0.67963045835495","0.6377736926078796","0.6377736926078796","0.6377736926078796","0.6608120203018188","0.6608120203018188","0.6608120203018188","0.6752395033836365","0.6752395033836365","0.6752395033836365"
"14","0.7494867444038391","0.7494867444038391","0.7494867444038391","0.6795734167098999","0.6795734167098999","0.6795734167098999","0.6376026272773743","0.6376026272773743","0.6376026272773743","0.6610401272773743","0.6610401272773743","0.6610401272773743","0.6753535270690918","0.6753535270690918","0.6753535270690918"
