"Step","sologroup - train_loss","sologroup - train_loss__MIN","sologroup - train_loss__MAX","feedback no time shift - train_loss","feedback no time shift - train_loss__MIN","feedback no time shift - train_loss__MAX","feedback - train_loss","feedback - train_loss__MIN","feedback - train_loss__MAX","gender - train_loss","gender - train_loss__MIN","gender - train_loss__MAX","friendship - train_loss","friendship - train_loss__MIN","friendship - train_loss__MAX"
"0","0.6753878230937043","0.6753878230937043","0.6753878230937043","0.6916509475151118","0.6916509475151118","0.6916509475151118","0.6918290409728558","0.6918290409728558","0.6918290409728558","0.6927679577013002","0.6927679577013002","0.6927679577013002","0.6913113002359432","0.6913113002359432","0.6913113002359432"
"1","0.6732965658979806","0.6732965658979806","0.6732965658979806","0.6824971776809136","0.6824971776809136","0.6824971776809136","0.6853578664960652","0.6853578664960652","0.6853578664960652","0.6914116518340842","0.6914116518340842","0.6914116518340842","0.6851198516622947","0.6851198516622947","0.6851198516622947"
"2","0.6731820803636696","0.6731820803636696","0.6731820803636696","0.6736395620081547","0.6736395620081547","0.6736395620081547","0.6779685472919993","0.6779685472919993","0.6779685472919993","0.6882159379276916","0.6882159379276916","0.6882159379276916","0.6680528404068773","0.6680528404068773","0.6680528404068773"
"3","0.6730046857867324","0.6730046857867324","0.6730046857867324","0.6672498048657048","0.6672498048657048","0.6672498048657048","0.6749101624871693","0.6749101624871693","0.6749101624871693","0.6819616721494355","0.6819616721494355","0.6819616721494355","0.6409978936188412","0.6409978936188412","0.6409978936188412"
"4","0.6733045522232501","0.6733045522232501","0.6733045522232501","0.6598528005780965","0.6598528005780965","0.6598528005780965","0.6691515289083885","0.6691515289083885","0.6691515289083885","0.6722956747904311","0.6722956747904311","0.6722956747904311","0.6300099505125171","0.6300099505125171","0.6300099505125171"
"5","0.6730480082550941","0.6730480082550941","0.6730480082550941","0.6537700012652543","0.6537700012652543","0.6537700012652543","0.668673160302378","0.668673160302378","0.668673160302378","0.664420524652857","0.664420524652857","0.664420524652857","0.6291585212206319","0.6291585212206319","0.6291585212206319"
"6","0.6732679222062318","0.6732679222062318","0.6732679222062318","0.6464113110173357","0.6464113110173357","0.6464113110173357","0.6621856132563013","0.6621856132563013","0.6621856132563013","0.6616048325587364","0.6616048325587364","0.6616048325587364","0.6285343030943488","0.6285343030943488","0.6285343030943488"
"7","0.6732746146575749","0.6732746146575749","0.6732746146575749","0.637364965285698","0.637364965285698","0.637364965285698","0.6567299278983234","0.6567299278983234","0.6567299278983234","0.6599864542049213","0.6599864542049213","0.6599864542049213","0.6280512566113994","0.6280512566113994","0.6280512566113994"
"8","0.6732734992490177","0.6732734992490177","0.6732734992490177","0.6348016557902315","0.6348016557902315","0.6348016557902315","0.6593474784906763","0.6593474784906763","0.6593474784906763","0.6573319817981581","0.6573319817981581","0.6573319817981581","0.6270506921475821","0.6270506921475821","0.6270506921475821"
"9","0.6733863339786641","0.6733863339786641","0.6733863339786641","0.6245370015610744","0.6245370015610744","0.6245370015610744","0.6496970183657904","0.6496970183657904","0.6496970183657904","0.6525912876546818","0.6525912876546818","0.6525912876546818","0.6258938086293909","0.6258938086293909","0.6258938086293909"
"10","0.6733772322448374","0.6733772322448374","0.6733772322448374","0.6208402536211223","0.6208402536211223","0.6208402536211223","0.6483247854413777","0.6483247854413777","0.6483247854413777","0.6424241448840956","0.6424241448840956","0.6424241448840956","0.6242517624458257","0.6242517624458257","0.6242517624458257"
"11","0.6730820059079176","0.6730820059079176","0.6730820059079176","0.6090306191548814","0.6090306191548814","0.6090306191548814","0.6422091853009523","0.6422091853009523","0.6422091853009523","0.6259566815230098","0.6259566815230098","0.6259566815230098","0.6236575606965671","0.6236575606965671","0.6236575606965671"
"12","0.6730990493506716","0.6730990493506716","0.6730990493506716","0.6024644392250228","0.6024644392250228","0.6024644392250228","0.6418637463646214","0.6418637463646214","0.6418637463646214","0.6119608635449931","0.6119608635449931","0.6119608635449931","0.6231404325387774","0.6231404325387774","0.6231404325387774"
"13","0.6731018155638935","0.6731018155638935","0.6731018155638935","0.5962305556248574","0.5962305556248574","0.5962305556248574","0.6338186333649349","0.6338186333649349","0.6338186333649349","0.6019195222506558","0.6019195222506558","0.6019195222506558","0.6215175990640682","0.6215175990640682","0.6215175990640682"
"14","0.6729372704935352","0.6729372704935352","0.6729372704935352","0.5942880115369811","0.5942880115369811","0.5942880115369811","0.6344211327768591","0.6344211327768591","0.6344211327768591","0.5988388618413549","0.5988388618413549","0.5988388618413549","0.6186580797181512","0.6186580797181512","0.6186580797181512"
"15","0.6728729783442983","0.6728729783442983","0.6728729783442983","0.5887084181291343","0.5887084181291343","0.5887084181291343","0.6295163788064553","0.6295163788064553","0.6295163788064553","0.5975753895557709","0.5975753895557709","0.5975753895557709","0.6140811669565466","0.6140811669565466","0.6140811669565466"
"16","0.673323424936038","0.673323424936038","0.673323424936038","0.5868260181733291","0.5868260181733291","0.5868260181733291","0.6260413288199989","0.6260413288199989","0.6260413288199989","0.5942591646291914","0.5942591646291914","0.5942591646291914","0.5907191255666914","0.5907191255666914","0.5907191255666914"
"17","0.6729231717293722","0.6729231717293722","0.6729231717293722","0.5689214441898095","0.5689214441898095","0.5689214441898095","0.6207361708592324","0.6207361708592324","0.6207361708592324","0.5920647391437615","0.5920647391437615","0.5920647391437615","0.5657719521626939","0.5657719521626939","0.5657719521626939"
"18","0.672995316354852","0.672995316354852","0.672995316354852","0.5676086314403228","0.5676086314403228","0.5676086314403228","0.6099701484624487","0.6099701484624487","0.6099701484624487","0.5924605209461964","0.5924605209461964","0.5924605209461964","0.5478247203966127","0.5478247203966127","0.5478247203966127"
