epoch,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc,lr
1,0.5888748936153747,,0.5672235150228847,,,,
2,0.557617210858577,,0.552958141673695,,,,
3,0.5468871512928525,,0.5464153682643716,,,,
4,0.5406680721286181,,0.5413294583559036,,,,
5,0.5362219339286959,,0.5381103293462233,,,,
6,0.5328836545750901,,0.5354463430968198,,,,
7,0.5303970120243124,,0.5333509201353247,,,,
8,0.5283639169222599,,0.5320931727235968,,,,
9,0.5266000022356575,,0.5311651460149072,,,,
10,0.5251307201546591,,0.529789915139025,,,,
11,0.5236384469915081,,0.5283725383606824,,,,
12,0.5225009189264195,,0.5284203087741678,,,,
13,0.5214986891762631,,0.5268699120391499,,,,
14,0.5205031742115278,,0.5257274833592501,,,,
15,0.5195705290581729,,0.5248112028295343,,,,
16,0.5188108805466343,,0.5243951000950553,,,,
17,0.518020520137774,,0.5237231715158983,,,,
18,0.5173265797060889,,0.5229141387072477,,,,
19,0.5167451794888522,,0.5223939947106622,,,,
20,0.5161186589582546,,0.5218500630422072,,,,
21,0.5155384129769093,,0.5212725008075888,,,,
22,0.5149460042247901,,0.5208137509497729,,,,
23,0.5144049567548005,,0.5202712972055782,,,,
24,0.5139599829106718,,0.519892387769439,,,,
25,0.5134785668672742,,0.5196093402125619,,,,
26,0.513031537669736,,0.5193471068685706,,,,
27,0.512652650072768,,0.5190651172941382,,,,
28,0.5122825340241999,,0.5187800364060835,,,,
29,0.5119747332221752,,0.5184335166757758,,,,
30,0.5116173061164649,,0.5183023390444842,,,,
31,0.5113398076311962,,0.5180283229459416,,,,
32,0.5110950447820328,,0.5180415917526592,,,,
33,0.5109028971275767,,0.5177559378472242,,,,
34,0.5106355425071072,,0.5174249857664108,,,,
35,0.5104436265254343,,0.5173124806447462,,,,
36,0.5102592098551828,,0.5171362378380515,,,,
37,0.5100822240315579,,0.5170271383090452,,,,
38,0.5099126554622844,,0.5169256844303824,,,,
39,0.5097381146372976,,0.5167601040818475,,,,
40,0.5095988006607907,,0.5166315314444628,,,,
41,0.5094986971769784,,0.516505242748694,,,,
42,0.5093956337989988,,0.5165305801413276,,,,
43,0.5092446223102711,,0.5164599310268055,,,,
44,0.5091494135558605,,0.5163229568438097,,,,
45,0.5090742606568981,,0.516314379193566,,,,
46,0.5090341757278185,,0.5162438696080988,,,,
47,0.5089609463875359,,0.5161960666829889,,,,
48,0.5088987561899263,,0.5161845995621248,,,,
49,0.5088631519796075,,0.5160769156434319,,,,
